"Url","Web_Title","Web_Url","Web_Creation_Date","Web_Last_Item_Modified","ListName","List_BaseType","List_BaseTemplate","List_ItemCount","List_LastItemModifiedDate"
"http://sp2019","Subsite","/subsite","11/12/2019 10:53:24 AM","11/12/2019 10:53:34 AM","Composed Looks","GenericList","124","18","11/12/2019 10:53:27 AM"
"http://sp2019","Subsite","/subsite","11/12/2019 10:53:24 AM","11/12/2019 10:53:34 AM","Documents","DocumentLibrary","101","0","11/12/2019 10:53:32 AM"
"http://sp2019","Subsite","/subsite","11/12/2019 10:53:24 AM","11/12/2019 10:53:34 AM","Master Page Gallery","DocumentLibrary","116","6","11/12/2019 10:53:30 AM"
"http://sp2019","Subsite","/subsite","11/12/2019 10:53:24 AM","11/12/2019 10:53:34 AM","Site Pages","DocumentLibrary","119","1","11/12/2019 10:53:34 AM"
